Mountain,Latitude,Longitude,Mileage,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Slide Mountain,41.9987,-74.3863,6.00,1/29/2017,2/10/2018,3/3/2013,4/24/2016,5/15/2016,6/3/2017,7/6/2012,8/21/2016,9/11/2016,10/6/2017,11/21/2017,12/31/2017
Hunter Mountain,42.2044,-74.2105,8.00,1/14/2018,2/14/2018,3/19/2016,4/8/2018,5/25/2014,6/21/2017,7/2/2017,8/19/2017,9/5/2014,10/1/2017,11/6/2016,12/26/2012
Black Dome,42.2701,-74.1226,1.50,1/24/2016,2/18/2017,3/17/2013,4/2/2016,5/29/2016,6/8/2014,7/4/2017,8/8/2014,9/4/2017,10/22/2017,11/15/2013,12/10/2017
Thomas Cole,42.2709,-74.1365,1.50,1/24/2016,2/18/2017,3/17/2013,4/2/2016,5/29/2016,6/8/2014,7/4/2017,8/8/2014,9/4/2017,10/22/2017,11/15/2013,12/10/2017
Blackhead,42.2679,-74.1046,5.00,1/24/2016,2/18/2017,3/17/2013,4/2/2016,5/29/2016,6/8/2014,7/4/2017,8/8/2014,9/4/2017,10/22/2017,11/15/2013,12/10/2017
West Kill,42.1679,-74.2896,6.50,1/15/2017,2/15/2019,3/7/2019,4/14/2017,5/1/2016,6/16/2019,7/8/2018,8/27/2013,9/27/2015,10/13/2019,11/23/2019,12/30/2015
Graham Mountain,42.039258,-74.549599,5.50,1/17/2015,2/9/2019,3/1/2019,4/17/2016,5/28/2017,6/10/2018,7/9/2017,8/24/2013,9/10/2017,10/7/2018,11/11/2018,12/11/2016
Doubletop Mountain,42.0276,-74.5282,5.50,1/3/2016,2/20/2019,3/8/2015,4/17/2016,5/28/2017,6/10/2018,7/22/2018,8/11/2013,9/10/2017,10/7/2018,11/11/2018,12/16/2017
Cornell Mountain,42.001481,-74.356816,1.00,1/27/2018,2/10/2018,3/18/2018,4/9/2017,5/19/2012,6/3/2017,7/23/2017,8/21/2016,9/16/2012,10/15/2015,11/21/2017,12/21/2015
Table Mountain,41.9587,-74.4049,1.00,1/21/2018,2/17/2019,3/24/2012,4/7/2019,5/3/2014,6/30/2018,7/30/2018,8/26/2018,9/6/2015,10/26/2013,11/1/2015,12/3/2017
Peekamoose Mountain,41.9531,-74.3982,8.00,1/21/2018,2/17/2019,3/24/2012,4/7/2019,5/3/2014,6/30/2018,7/30/2018,8/26/2018,9/6/2015,10/26/2013,11/16/2012,12/3/2017
Plateau Mountain,42.137778,-74.174444,7.30,1/15/2015,2/24/2018,3/26/2017,4/26/2018,5/13/2018,6/25/2017,7/1/2013,8/14/2017,9/2/2018,10/2/2016,11/17/2015,12/26/2017
Sugarloaf Mountain,42.131333,-74.150167,6.70,1/15/2015,2/14/2016,3/24/2018,4/26/2018,5/13/2018,6/25/2017,7/1/2013,8/14/2017,9/2/2018,10/30/2016,11/17/2015,12/26/2017
Wittenberg Mountain,42.0081,-74.3474,8.00,1/27/2018,2/21/2018,3/18/2018,4/9/2017,5/19/2012,6/3/2017,7/23/2017,8/21/2016,9/16/2012,10/15/2015,11/21/2017,12/21/2015
Southwest Hunter,42.1627,-74.2437,1.00,1/14/2018,2/14/2018,3/19/2016,4/8/2018,5/25/2014,6/21/2017,7/2/2017,8/19/2017,9/5/2014,10/1/2017,11/6/2016,12/26/2012
Balsam Lake Mountain,42.045667,-74.5945,5.00,1/17/2015,2/9/2019,3/1/2019,4/17/2016,5/28/2017,6/20/2015,7/9/2017,8/24/2013,9/10/2017,10/7/2018,11/11/2018,12/11/2016
Lone Mountain,41.9693,-74.3893,6.00,1/12/2013,2/6/2016,3/31/2018,4/7/2019,5/24/2015,6/30/2018,7/30/2018,8/26/2018,9/5/2016,10/16/2016,11/4/2018,12/3/2017
Panther Mountain,42.0565,-74.3946,6.90,1/17/2016,2/5/2019,3/15/2013,4/1/2019,5/14/2017,6/17/2018,7/28/2018,8/16/2015,9/2/2012,10/14/2017,11/4/2019,12/8/2018
Big Indian Mountain,42.035092,-74.496542,9.00,1/4/2019,2/11/2019,3/17/2019,4/16/2019,5/22/2016,6/11/2017,7/21/2013,8/6/2017,9/22/2018,10/26/2018,11/12/2017,12/28/2015
Friday Mountain,41.9876,-74.3621,4.00,1/2/2019,2/4/2018,3/24/2019,4/12/2015,5/24/2015,6/19/2013,7/4/2018,8/12/2018,9/5/2016,10/16/2016,11/25/2018,12/22/2014
Rusk Mountain,42.2006,-74.2771,3.70,1/28/2017,2/17/2018,3/16/2019,4/8/2018,5/24/2018,6/9/2019,7/19/2014,8/14/2016,9/8/2019,10/15/2017,11/30/2018,12/30/2012
Kaaterskill High Peak,42.162151,-74.080131,9.20,1/13/2019,2/19/2019,3/6/2016,4/11/2019,5/3/2015,6/24/2018,7/30/2017,8/18/2013,9/1/2019,10/5/2018,11/13/2016,12/26/2015
Twin Mountain,42.125667,-74.129333,6.00,1/11/2015,2/3/2018,3/13/2016,4/21/2018,5/21/2017,6/1/2014,7/1/2013,8/7/2016,9/24/2017,10/12/2014,11/17/2016,12/28/2016
Balsam Cap,41.977,-74.3574,3.70,1/2/2019,2/4/2018,3/24/2019,4/12/2015,5/24/2015,6/19/2013,7/4/2018,8/12/2018,9/5/2016,10/16/2016,11/25/2018,12/22/2014
Fir Mountain,42.0276,-74.469,3.00,1/4/2019,2/11/2019,3/17/2019,4/16/2019,5/22/2016,6/11/2017,7/21/2013,8/6/2017,9/22/2018,10/26/2018,11/12/2017,12/28/2015
North Dome,42.1734,-74.349,5.00,1/25/2015,2/3/2019,3/3/2019,4/10/2016,5/6/2018,6/3/2018,7/3/2016,8/22/2013,9/30/2018,10/14/2018,11/27/2016,12/20/2017
Eagle Mountain,42.062,-74.5093,8.00,1/31/2016,2/16/2018,3/25/2018,4/28/2013,5/22/2016,6/29/2014,7/17/2016,8/6/2017,9/16/2018,10/21/2018,11/3/2017,12/27/2014
Balsam Mountain,42.0909,-74.4882,5.50,1/31/2016,2/16/2018,3/9/2013,4/28/2013,5/30/2013,6/29/2014,7/17/2016,8/6/2017,9/16/2018,10/21/2018,11/3/2017,12/4/2016
Bearpen Mountain,42.2734,-74.484,4.00,1/5/2013,2/4/2017,3/26/2016,4/23/2017,5/20/2018,6/2/2018,7/24/2016,8/31/2016,9/3/2018,10/28/2017,11/17/2017,12/29/2017
Indian Head,42.116201,-74.114585,4.00,1/11/2015,2/3/2018,3/13/2016,4/21/2018,5/21/2017,6/1/2014,7/1/2013,8/7/2016,9/24/2017,10/12/2014,11/17/2016,12/28/2016
Sherrill Mountain,42.1756,-74.3729,5.00,1/25/2015,2/3/2019,3/3/2019,4/10/2016,5/6/2018,6/3/2018,7/3/2016,8/22/2013,9/30/2018,10/14/2018,11/30/2017,12/20/2017
Halcott Mountain,42.1801,-74.4379,4.00,1/7/2019,2/6/2019,3/19/2019,4/29/2018,5/26/2013,6/21/2018,7/26/2014,8/26/2017,9/8/2019,10/6/2019,11/25/2017,12/24/2015
Vly Mountain,42.2454,-74.446,2.50,1/5/2013,2/4/2017,3/26/2016,4/23/2017,5/20/2018,6/2/2018,7/24/2016,8/31/2016,9/3/2018,10/28/2017,11/17/2017,12/29/2017
Windham High Peak,42.3148,-74.1435,3.25,1/22/2017,2/28/2016,3/15/2014,4/30/2017,5/4/2013,6/28/2017,7/16/2017,8/17/2014,9/24/2016,10/22/2017,11/14/2017,12/31/2016
Rocky Mountain,41.9729,-74.3727,6.00,1/12/2013,2/6/2016,3/31/2018,4/7/2019,5/24/2015,6/30/2018,7/30/2018,8/26/2018,9/5/2016,10/16/2016,11/4/2018,12/3/2017
